X	Y	Y_hat
-11	-34	-35.517660
-34	-113	-104.844668
-51	-135	-156.086369
-63	-197	-192.256982
-35	-112	-107.858886
2	24	3.667170
30	78	88.065266
15	36	42.852000
-2	-23	-8.389701
-47	-145	-144.029498
10	29	27.780912
42	118	124.235879
30	71	88.065266
-42	-130	-128.958410
37	111	109.164790
14	37	39.837783
9	9	24.766694
78	223	232.747717
3	12	6.681388
-9	-27	-29.489225
-1	-7	-5.375483
44	129	130.264314
-31	-89	-95.802015
-34	-105	-104.844668
23	53	66.965742
-30	-85	-92.787797
20	45	57.923089
30	89	88.065266
20	48	57.923089
31	86	91.079484
0	-11	-2.361265
69	210	205.619757
12	12	33.809347
-12	-42	-38.531878
19	57	54.908871
-26	-60	-80.730926
-35	-100	-107.858886
47	131	139.306967
3	-1	6.681388
-34	-98	-104.844668
-10	-33	-32.503443
-4	-13	-14.418136
3	1	6.681388
0	-5	-2.361265
-9	-41	-29.489225
-2	2	-8.389701
-49	-160	-150.057934
9	28	24.766694
69	193	205.619757
-9	-36	-29.489225
37	125	109.164790
-30	-105	-92.787797
-23	-64	-71.688273
-37	-116	-113.887321
-22	-50	-68.674055
17	48	48.880436
37	122	109.164790
-24	-101	-74.702491
-11	-41	-35.517660
80	231	238.776152
-53	-167	-162.114804
6	10	15.724041
0	6	-2.361265
7	10	18.738259
-15	-31	-47.574531
-36	-89	-110.873103
19	68	54.908871
-68	-208	-207.328070
47	122	139.306967
11	35	30.795130
15	34	42.852000
-14	-36	-44.560313
31	96	91.079484
-11	-28	-35.517660
40	123	118.207443
-57	-187	-174.171675
-36	-112	-110.873103
42	134	124.235879
-14	-38	-44.560313
26	86	76.008395
-35	-99	-107.858886
18	44	51.894654
71	193	211.648193
57	165	169.449145
69	215	205.619757
-26	-81	-80.730926
-6	-12	-20.446572
-3	-7	-11.403919
9	30	24.766694
4	25	9.695605
14	37	39.837783
10	30	27.780912
-54	-171	-165.129022
-9	-28	-29.489225
11	39	30.795130
11	34	30.795130
-38	-108	-116.901539
59	151	175.477580
-1	-1	-5.375483
21	42	60.937307
-41	-129	-125.944192
61	182	181.506015
16	46	45.866218
10	34	27.780912
9	37	24.766694
9	20	24.766694
-24	-70	-74.702491
-1	-3	-5.375483
19	64	54.908871
25	53	72.994178
50	155	148.349621
-14	-52	-44.560313
-60	-167	-183.214329
-20	-72	-62.645620
-28	-87	-86.759362
-40	-114	-122.929974
-1	15	-5.375483
28	72	82.036831
-38	-122	-116.901539
-27	-77	-83.745144
-28	-84	-86.759362
-17	-53	-53.602967
-1	9	-5.375483
14	30	39.837783
0	-16	-2.361265
-7	-19	-23.460789
-24	-74	-74.702491
-42	-135	-128.958410
24	66	69.979960
4	19	9.695605
15	45	42.852000
-9	-43	-29.489225
-44	-128	-134.986845
41	135	121.221661
-10	-30	-32.503443
15	49	42.852000
-31	-110	-95.802015
31	82	91.079484
12	41	33.809347
6	21	15.724041
3	0	6.681388
24	60	69.979960
-20	-61	-62.645620
-8	-30	-26.475007
23	67	66.965742
-15	-46	-47.574531
15	41	42.852000
-33	-97	-101.830450
1	3	0.652952
-33	-108	-101.830450
-34	-103	-104.844668
-6	-18	-20.446572
26	56	76.008395
-2	-19	-8.389701
-4	4	-14.418136
71	217	211.648193
0	6	-2.361265
33	72	97.107919
2	14	3.667170
-10	-29	-32.503443
-4	-24	-14.418136
28	77	82.036831
2	-14	3.667170
50	151	148.349621
43	113	127.250097
43	114	127.250097
-60	-182	-183.214329
-30	-87	-92.787797
-6	-17	-20.446572
11	35	30.795130
-19	-50	-59.631402
-24	-66	-74.702491
-23	-58	-71.688273
-19	-49	-59.631402
0	0	-2.361265
-69	-208	-210.342288
-17	-63	-53.602967
74	235	220.690846
-9	-33	-29.489225
-14	-39	-44.560313
-102	-317	-309.811473
44	136	130.264314
-26	-69	-80.730926
30	98	88.065266
-23	-56	-71.688273
-83	-246	-252.541336
-1	1	-5.375483
-1	-19	-5.375483
-47	-144	-144.029498
6	18	15.724041
12	32	33.809347
15	46	42.852000
-52	-164	-159.100587
21	59	60.937307
2	34	3.667170
14	69	39.837783
-4	-23	-14.418136
-29	-79	-89.773579
7	26	18.738259
-21	-54	-65.659837
-6	-16	-20.446572
2	-4	3.667170
-5	-26	-17.432354
-18	-46	-56.617184
-60	-178	-183.214329
17	48	48.880436
7	23	18.738259
-18	-59	-56.617184
-71	-229	-216.370723
21	64	60.937307
-9	-38	-29.489225
3	7	6.681388
-2	-12	-8.389701
0	26	-2.361265
-11	-36	-35.517660
40	114	118.207443
-37	-123	-113.887321
-34	-113	-104.844668
-4	-25	-14.418136
-47	-155	-144.029498
-25	-76	-77.716708
-60	-169	-183.214329
20	56	57.923089
17	48	48.880436
-27	-76	-83.745144
-26	-75	-80.730926
24	71	69.979960
3	7	6.681388
-8	-39	-26.475007
27	89	79.022613
-18	-51	-56.617184
43	134	127.250097
2	9	3.667170
-37	-126	-113.887321
-1	-2	-5.375483
15	40	42.852000
-20	-55	-62.645620
8	22	21.752476
71	215	211.648193
8	14	21.752476
-46	-129	-141.015280
0	-2	-2.361265
82	257	244.804588
7	33	18.738259
21	65	60.937307
-4	-5	-14.418136
-1	-5	-5.375483
23	52	66.965742
-7	-31	-23.460789
17	43	48.880436
-4	-23	-14.418136
-10	-27	-32.503443
2	3	3.667170
-8	-32	-26.475007
-49	-162	-150.057934
14	45	39.837783
1	8	0.652952
-9	-31	-29.489225
-13	-59	-41.546096
53	172	157.392274
10	23	27.780912
-31	-84	-95.802015
22	71	63.951524
24	87	69.979960
8	15	21.752476
2	7	3.667170
17	60	48.880436
-22	-50	-68.674055
2	4	3.667170
-15	-38	-47.574531
-7	-30	-23.460789
-4	-16	-14.418136
10	29	27.780912
-39	-120	-119.915756
20	49	57.923089
-22	-74	-68.674055
19	68	54.908871
-51	-151	-156.086369
30	93	88.065266
23	76	66.965742
5	14	12.709823
5	6	12.709823
-24	-84	-74.702491
7	11	18.738259
45	122	133.278532
17	62	48.880436
12	22	33.809347
21	67	60.937307
12	42	33.809347
-35	-101	-107.858886
5	32	12.709823
10	15	27.780912
36	111	106.150573
74	225	220.690846
18	39	51.894654
-11	-25	-35.517660
15	45	42.852000
-29	-91	-89.773579
-51	-151	-156.086369
9	36	24.766694
13	35	36.823565
0	19	-2.361265
-4	0	-14.418136
23	67	66.965742
-39	-113	-119.915756
-4	-26	-14.418136
-2	-13	-8.389701
-20	-58	-62.645620
-16	-29	-50.588749
-42	-121	-128.958410
-26	-66	-80.730926
-20	-59	-62.645620
-10	-20	-32.503443
19	55	54.908871
40	118	118.207443
31	112	91.079484
-37	-124	-113.887321
-6	-20	-20.446572
3	-9	6.681388
15	29	42.852000
-14	-56	-44.560313
0	1	-2.361265
-12	-40	-38.531878
-17	-54	-53.602967
-40	-120	-122.929974
18	75	51.894654
-30	-98	-92.787797
-12	-47	-38.531878
26	92	76.008395
39	126	115.193226
52	169	154.378056
1	-20	0.652952
22	81	63.951524
-53	-165	-162.114804
-1	-14	-5.375483
-31	-107	-95.802015
26	60	76.008395
-11	-37	-35.517660
34	96	100.122137
-11	-26	-35.517660
0	5	-2.361265
-10	-40	-32.503443
-16	-47	-50.588749
-66	-201	-201.299635
31	74	91.079484
34	125	100.122137
-49	-146	-150.057934
41	125	121.221661
-47	-156	-144.029498
-37	-120	-113.887321
-20	-55	-62.645620
-58	-183	-177.185893
-2	-11	-8.389701
-69	-195	-210.342288
-56	-179	-171.157458
-32	-89	-98.816232
-43	-132	-131.972627
-7	-9	-23.460789
24	86	69.979960
-36	-99	-110.873103
-37	-115	-113.887321
-18	-52	-56.617184
62	189	184.520233
12	14	33.809347
-7	-22	-23.460789
28	73	82.036831
7	28	18.738259
6	21	15.724041
20	51	57.923089
4	34	9.695605
-16	-32	-50.588749
11	17	30.795130
13	37	36.823565
-1	-6	-5.375483
-17	-47	-53.602967
-37	-115	-113.887321
-48	-164	-147.043716
29	82	85.051048
46	155	136.292750
-47	-139	-144.029498
-7	-19	-23.460789
-6	-13	-20.446572
23	64	66.965742
2	-8	3.667170
11	21	30.795130
9	27	24.766694
-10	-30	-32.503443
-7	-24	-23.460789
-55	-159	-168.143240
-10	-39	-32.503443
0	-4	-2.361265
-42	-118	-128.958410
-9	-21	-29.489225
19	38	54.908871
31	102	91.079484
-25	-84	-77.716708
-27	-64	-83.745144
3	-2	6.681388
54	142	160.406491
-27	-93	-83.745144
15	49	42.852000
-9	-40	-29.489225
-66	-202	-201.299635
17	70	48.880436
-8	-45	-26.475007
-8	-31	-26.475007
-5	-26	-17.432354
24	56	69.979960
33	118	97.107919
48	130	142.321185
5	34	12.709823
2	5	3.667170
7	17	18.738259
5	3	12.709823
25	55	72.994178
30	95	88.065266
-22	-80	-68.674055
-5	0	-17.432354
-58	-173	-177.185893
3	4	6.681388
43	133	127.250097
-34	-102	-104.844668
7	26	18.738259
-37	-92	-113.887321
-5	-29	-17.432354
-20	-69	-62.645620
11	38	30.795130
5	38	12.709823
10	44	27.780912
10	41	27.780912
-13	-26	-41.546096
19	65	54.908871
-11	-43	-35.517660
-17	-48	-53.602967
-35	-118	-107.858886
5	2	12.709823
10	17	27.780912
11	17	30.795130
-55	-162	-168.143240
-14	-57	-44.560313
15	52	42.852000
-19	-69	-59.631402
-21	-62	-65.659837
18	63	51.894654
-49	-143	-150.057934
74	235	220.690846
41	122	121.221661
28	79	82.036831
6	4	15.724041
-26	-88	-80.730926
22	55	63.951524
-14	-40	-44.560313
-39	-121	-119.915756
21	52	60.937307
4	18	9.695605
8	37	21.752476
-52	-167	-159.100587
9	46	24.766694
87	257	259.875676
-21	-66	-65.659837
-31	-82	-95.802015
9	32	24.766694
1	14	0.652952
-20	-63	-62.645620
-25	-73	-77.716708
23	53	66.965742
16	44	45.866218
24	74	69.979960
34	92	100.122137
-39	-111	-119.915756
37	91	109.164790
21	43	60.937307
10	28	27.780912
11	25	30.795130
-7	-31	-23.460789
20	66	57.923089
-41	-139	-125.944192
13	41	36.823565
5	12	12.709823
5	12	12.709823
-54	-162	-165.129022
2	22	3.667170
-35	-90	-107.858886
-8	-25	-26.475007
-19	-58	-59.631402
8	10	21.752476
8	25	21.752476
-49	-164	-150.057934
-2	5	-8.389701
26	92	76.008395
19	49	54.908871
-11	-35	-35.517660
-2	-1	-8.389701
29	82	85.051048
-42	-147	-128.958410
-45	-147	-138.001063
33	95	97.107919
9	28	24.766694
-15	-36	-47.574531
26	75	76.008395
-30	-99	-92.787797
-23	-76	-71.688273
-32	-104	-98.816232
-7	-13	-23.460789
-11	-47	-35.517660
30	94	88.065266
-9	-36	-29.489225
42	108	124.235879
-1	-6	-5.375483
-14	-59	-44.560313
7	17	18.738259
-1	-2	-5.375483
-42	-131	-128.958410
0	-23	-2.361265
51	170	151.363838
-34	-115	-104.844668
62	169	184.520233
7	36	18.738259
30	74	88.065266
-58	-188	-177.185893
36	115	106.150573
-37	-101	-113.887321
-13	-70	-41.546096
-31	-96	-95.802015
45	144	133.278532
7	17	18.738259
13	34	36.823565
-45	-131	-138.001063
-12	-47	-38.531878
-36	-124	-110.873103
7	-2	18.738259
-11	-26	-35.517660
-55	-173	-168.143240
-16	-45	-50.588749
18	55	51.894654
14	32	39.837783
17	34	48.880436
-35	-113	-107.858886
-9	-36	-29.489225
-8	-17	-26.475007
-24	-98	-74.702491
-13	-26	-41.546096
5	19	12.709823
20	57	57.923089
-20	-63	-62.645620
-5	4	-17.432354
3	17	6.681388
11	45	30.795130
27	86	79.022613
7	20	18.738259
16	53	45.866218
27	88	79.022613
39	107	115.193226
10	6	27.780912
6	16	15.724041
6	6	15.724041
38	119	112.179008
38	118	112.179008
-7	-13	-23.460789
-25	-54	-77.716708
55	155	163.420709
-41	-132	-125.944192
-11	-36	-35.517660
-17	-51	-53.602967
-4	-9	-14.418136
15	34	42.852000
17	62	48.880436
-95	-302	-288.711949
0	4	-2.361265
-26	-81	-80.730926
77	221	229.733499
-6	-16	-20.446572
-47	-128	-144.029498
65	181	193.562886
-3	-17	-11.403919
-23	-78	-71.688273
-22	-51	-68.674055
-2	1	-8.389701
-4	-31	-14.418136
31	92	91.079484
-50	-150	-153.072151
-16	-44	-50.588749
17	49	48.880436
13	46	36.823565
43	122	127.250097
-15	-42	-47.574531
33	95	97.107919
14	35	39.837783
-34	-106	-104.844668
23	58	66.965742
-6	-20	-20.446572
74	214	220.690846
-41	-128	-125.944192
32	109	94.093702
-23	-76	-71.688273
9	21	24.766694
33	125	97.107919
45	136	133.278532
83	265	247.818805
-2	-1	-8.389701
-30	-92	-92.787797
-3	-18	-11.403919
3	-9	6.681388
-71	-215	-216.370723
-7	-27	-23.460789
9	29	24.766694
13	51	36.823565
38	117	112.179008
-17	-50	-53.602967
-54	-159	-165.129022
24	93	69.979960
30	80	88.065266
-6	-20	-20.446572
-13	-39	-41.546096
23	73	66.965742
-52	-155	-159.100587
-11	-28	-35.517660
-43	-144	-131.972627
-20	-66	-62.645620
-47	-134	-144.029498
18	58	51.894654
22	63	63.951524
-7	-20	-23.460789
20	60	57.923089
2	10	3.667170
5	10	12.709823
8	38	21.752476
-14	-43	-44.560313
6	1	15.724041
1	2	0.652952
28	94	82.036831
5	17	12.709823
41	126	121.221661
-81	-236	-246.512901
-23	-81	-71.688273
-13	-42	-41.546096
16	50	45.866218
-25	-77	-77.716708
-6	-29	-20.446572
13	45	36.823565
10	24	27.780912
-32	-105	-98.816232
21	67	60.937307
-19	-45	-59.631402
-6	-21	-20.446572
-12	-28	-38.531878
10	39	27.780912
20	47	57.923089
-5	-37	-17.432354
-14	-53	-44.560313
21	60	60.937307
43	129	127.250097
7	19	18.738259
0	11	-2.361265
-27	-98	-83.745144
37	111	109.164790
-8	-23	-26.475007
17	58	48.880436
2	1	3.667170
22	50	63.951524
17	33	48.880436
40	111	118.207443
38	95	112.179008
33	95	97.107919
38	94	112.179008
7	-3	18.738259
33	88	97.107919
-37	-113	-113.887321
-43	-143	-131.972627
29	84	85.051048
-55	-166	-168.143240
-4	-14	-14.418136
4	12	9.695605
-64	-193	-195.271199
4	2	9.695605
40	113	118.207443
-5	-8	-17.432354
1	-1	0.652952
-64	-198	-195.271199
-20	-35	-62.645620
-9	-27	-29.489225
3	21	6.681388
-58	-174	-177.185893
-6	-11	-20.446572
8	12	21.752476
17	48	48.880436
26	78	76.008395
1	15	0.652952
49	133	145.335403
-59	-178	-180.200111
11	22	30.795130
52	164	154.378056
-25	-66	-77.716708
19	44	54.908871
-46	-148	-141.015280
-10	-21	-32.503443
-13	-50	-41.546096
3	6	6.681388
-33	-104	-101.830450
-11	-49	-35.517660
